CITY;DIALLING_CODE
Bethlehem;58
Bisho;40
Bloemfontein;51
Cape Town;21
Durban;31
East London;43
Ermelo;17
Garden Route;44
Grahamstown;46
Humansdorp;42
Johannesburg;10
Johannesburg;11
Kimberley;53
Kroonstad;56
Ladysmith;36
Malmesbury;22
Middelburg;13
Northern Cape;27
Pietermaritzburg;33
Port Elizabeth;41
Port Shepstone;39
Pretoria;12
Queenstown;45
Richards Bay;35
Rustenburg;14
Stanger;32
Steynsburg;48
Swellendam;28
Umtata;47
Upington;54
Vereeniging;16
Vryheid;34
Welkom;57
Worcester;23